# n48.xyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     250      48      -99949.4      -99949.4      0.001215      4.67982      4.82062      0.00881072      
     251      48      -99956.8      -99957      0.00493713      7.30945      7.57398      0.016593      
     252      48      -99829.9      -99829.8      0.0025779      26.891      27.0325      0.0108992      
     253      48      -99920.6      -99921.1      0.0096738      8.2099      8.08333      0.024405      
     254      48      -99860.2      -99860.6      0.00886928      23.8275      23.7811      0.00576036      
     255      48      -99899.5      -99899.6      0.00261791      8.21583      8.22578      0.0169106      
     256      48      -99932.7      -99932.5      0.00404302      14.771      14.8835      0.00908092      
     257      48      -99922.5      -99922.5      0.000305263      16.2991      16.4448      0.0138392      
     258      48      -99771.8      -99771.1      0.0136394      26.8559      27.0683      0.0171032      
     259      48      -99928.9      -99928.9      0.00031832      4.45161      4.60987      0.0130732      
     260      48      -99888.8      -99888.9      0.00152508      24.9286      25.0052      0.0180696      
     261      48      -99874      -99874.1      0.00107931      21.244      21.1642      0.0128618      
     262      48      -99958.9      -99958.5      0.00748425      6.27301      6.13714      0.0135609      
     263      48      -99938.6      -99938.7      0.000681996      10.7238      10.959      0.0167171      
     264      48      -99903.6      -99902.8      0.0157391      8.88723      8.98902      0.0204135      
     265      48      -99936.3      -99936.4      0.00182951      14.31      14.3196      0.00726895      
     266      48      -99942.8      -99943.1      0.00543257      7.46777      7.71598      0.0248534      
     267      48      -99937.1      -99937.3      0.00350683      2.81954      2.98463      0.0131792      
     268      48      -99877.1      -99877      0.00268117      14.9555      15.077      0.00823278      
     269      48      -99851.4      -99851.1      0.00647436      24.6272      24.7011      0.0174215      
     270      48      -99948      -99948.1      0.00203852      3.3403      3.13179      0.015738      
     271      48      -99945      -99944.6      0.00757257      7.90005      7.8476      0.00591509      
     272      48      -99927.4      -99927.4      0.000925063      11.971      11.6594      0.0214318      
     273      48      -99883.2      -99883.6      0.00975204      25.5868      25.5564      0.0147944      
     274      48      -99958.3      -99958.7      0.00697907      2.04816      2.01865      0.00720129      
     275      48      -99956.2      -99956.1      0.00101222      9.95376      9.98827      0.00808621      
     276      48      -99851.2      -99851.6      0.00830876      23.8758      23.6507      0.0180934      
     277      48      -99937.8      -99937.9      0.00277647      5.51578      5.71534      0.015818      
     278      48      -99832.9      -99832.4      0.0103126      45.5542      45.4187      0.0123565      
     279      48      -99926.9      -99926.9      0.00177541      16.1573      16.2326      0.00776266      
     280      48      -99934.5      -99934.6      0.00222356      4.63539      4.57734      0.00611845      
     281      48      -99921.2      -99921.5      0.00534947      10.877      10.8947      0.0174383      
     282      48      -99926.9      -99926.9      0.00177525      16.1573      16.2341      0.00793634      
     283      48      -99860.3      -99860.2      0.00238045      16.5157      16.5265      0.00435779      
     284      48      -99821.4      -99821.3      0.0029258      20.1032      19.9652      0.00888267      
     285      48      -99942.2      -99942.5      0.00713038      8.65049      8.68297      0.0148558      
