# md_1200K_96atom.extxyz
|  config  |  # atoms  |  energy  | DFT energy | energy error |  force  | DFT force | force error |
     345      96      -568.443      -568.537      0.000973944      22.1761      22.1506      0.0323961      
     346      96      -567.951      -567.99      0.000408622      23.3764      23.3811      0.0297257      
     347      96      -568.66      -568.618      0.000433995      23.9724      24.0709      0.0298596      
     348      96      -569.773      -569.736      0.000379807      22.6873      22.7592      0.0290483      
     349      96      -570.269      -570.227      0.000445362      22.4928      22.5108      0.0287938      
     350      96      -570.352      -570.3      0.000543801      22.7922      22.786      0.0278359      
     351      96      -570.127      -570.075      0.000542695      22.9326      22.8984      0.0274484      
     352      96      -569.997      -569.937      0.000626128      23.0676      23.0514      0.0275684      
     353      96      -570.301      -570.229      0.000752258      23.0648      23.0871      0.0282631      
     354      96      -568.501      -568.554      0.000550645      22.2977      22.2795      0.0289316      
     355      96      -571.352      -571.299      0.000547559      22.3679      22.4159      0.0281905      
     356      96      -571.261      -571.233      0.000295468      22.6832      22.7175      0.0281222      
     357      96      -570.605      -570.593      0.000120199      23.0781      23.0806      0.0295504      
     358      96      -569.803      -569.814      0.000112665      23.36      23.339      0.0295084      
     359      96      -569.342      -569.383      0.00043223      23.0063      22.9643      0.027908      
     360      96      -569.274      -569.328      0.000559863      22.4204      22.3864      0.0285888      
